id,category,name,reference_url,reference_shots,menu,panel,engine,output,numeric_test,ui_test,owner,commit,limitations
A01,Analysis,Atomic strain,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,Requires reference config + deformation gradient fitting
A02,Analysis,Bader charge integration,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,Requires voxel charge density input
A03,Analysis,Bond angle distribution,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,From explicit bond topology with image shifts
A04,Analysis,Bond length distribution,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,From explicit bond topology with image shifts
A05,Analysis,Bond order,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A06,Analysis,Cluster analysis,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,Cutoff or bond mode; 2M/20M atom caps
A07,Analysis,Difference between frames,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A08,Analysis,Dislocation analysis (DXA),,docs/parity/ovito/,todo,todo,todo,todo,todo,todo,,,,Only approximate coordination prepass exists outside pipeline
A09,Analysis,Displacement vectors,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,N2,,,,Reference frame + periodic unwrap + arrow object
A10,Analysis,Elastic strain calculation,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A11,Analysis,Find rings,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A12,Analysis,Grain segmentation,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A13,Analysis,Histogram,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,No bond properties yet
A14,Analysis,Radial distribution function (RDF),,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,Requires fully periodic 3D cell; no partial type-pair RDF
A15,Analysis,Reduce property,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,min/max/mean/sum only
A16,Analysis,Scatter plot,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,250k point cap; no log axes
A17,Analysis,Spatial binning,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A18,Analysis,Spatial correlation function,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A19,Analysis,Structure factor,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A20,Analysis,Time averaging,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A21,Analysis,Time series,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A22,Analysis,Voronoi analysis,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
A23,Analysis,Wigner-Seitz defect analysis,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
M01,Modification,Affine transformation,,docs/parity/ovito/,pass,pass,pass,pass,pass,partial,P2,,,,Enter rotation modal + reduced coords + only-selected + live cell readout; normals not inverse-transformed
M02,Modification,Combine datasets,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
M03,Modification,Compute property,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,Scalar expressions only; no vector output
M04,Modification,Delete selected,,docs/parity/ovito/,pass,pass,pass,pass,partial,partial,,,,Bond remapping implemented
M05,Modification,Edit simulation cell,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,P1,,,,Panel order aligned (origin->vectors->PBC); no 2D dimensionality or quick-size fields
M06,Modification,Edit types,,docs/parity/ovito/,pass,pass,pass,pass,partial,partial,,,,Applies to selected particles
M07,Modification,Freeze property,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,N3,,,,Snapshot property at frame; ID-aligned
M08,Modification,Load trajectory,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
M09,Modification,Python script,,docs/parity/ovito/,partial,deferred,deferred,deferred,deferred,deferred,,,,Deferred by user decision; must show clear notice
M10,Modification,Remove property,,docs/parity/ovito/,pass,pass,pass,pass,partial,partial,,,,Rejects Position/Particle Type
M11,Modification,Replicate,,docs/parity/ovito/,partial,partial,pass,pass,pass,partial,P1,,,,Three-axis Na/Nb/Nc + adjust box + bond remap; OVITO labels Number of images/Assign unique IDs not yet mirrored
M12,Modification,Slice,,docs/parity/ovito/,pass,pass,pass,pass,pass,pass,P1,,,,Counts match live OVITO (64/18); align-view buttons and Miller indices are stubs; results line reflects last slice node only
M13,Modification,Smooth trajectory,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
M14,Modification,Unwrap trajectories,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,N3,,,,Stable-ID PBC unwrap across frames
M15,Modification,Wrap at periodic boundaries,,docs/parity/ovito/,pass,pass,partial,pass,partial,partial,,,,Partial PBC axes handled
S01,Structure identification,Ackland-Jones analysis,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,
S02,Structure identification,Centrosymmetry parameter,,docs/parity/ovito/,pass,pass,pass,pass,pass,partial,N1,a07407d,Histogram panel simpler than OVITO; under-coordinated fallback documented (even>=4 else 0 + counter)
S03,Structure identification,Chill+,,docs/parity/ovito/,partial,todo,todo,todo,todo,todo,,,,Needs water/bond topology model
